State,County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM2.5,Drinking_water_violations,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Long_commute_driving_alone
New York,Bronx,18665,30,4.9,4.6,10,17,34,7.6,39,100,27,18281,22,100053,896,743,3240,5342,34,38,683029,215413,94436,31,93799,174580,396,8486,3943,8.3,No,39,24,571796
New York,Broome,2598,19,4.1,4.8,8,19,32,7.9,27,79,22,707,14,7520,163,134,446,4143,47,52,115160,27546,7099,24,104945,9247,214,616,735,6.9,No,16,79,81097
New York,Cattaraugus,1224,20,4.5,5.2,8,22,33,7.9,31,50,11,227,20,4088,35,35,113,4473,46,45,47281,9352,3120,22,94544,4055,114,153,279,7.3,Yes,14,81,32618
New York,Cayuga,1063,18,4.1,4.9,7,21,34,8.5,29,71,13,266,16,2770,20,35,157,4168,54,55,49067,10881,2799,15,109790,3785,78,190,256,6.4,Yes,13,83,34920
New York,Chautauqua,1889,20,4.4,5,8,22,34,7.6,29,63,8,630,23,5210,68,72,229,3305,49,52,79938,17064,4702,19,95508,6227,216,356,496,6.6,Yes,15,80,54733
New York,Chemung,1377,18,4.1,4.9,8,21,33,7.9,29,73,6,386,26,2636,65,52,257,6024,51,50,53323,12301,3102,20,102972,4688,97,169,372,6.2,Yes,13,82,36332
New York,Chego,752,19,4.3,5.1,7,21,34,8.2,29,48,5,103,21,1703,16,16,92,4023,46,47,30196,5778,1499,16,97010,2066,53,90,158,6.5,No,13,80,21187
New York,Clinton,1034,18,4.1,4.9,7,20,36,8,28,65,4,272,11,3018,59,50,243,4521,51,49,48608,10758,2824,13,109309,2595,53,128,231,7,No,14,80,35420
New York,Columbia,819,16,3.8,4.6,6,18,30,8.1,26,53,10,165,12,2524,24,23,119,3947,45,52,41557,8116,1878,16,137052,2311,61,89,214,7,No,16,75,28671
New York,Cortland,620,17,4.1,4.9,8,20,32,8,28,76,5,231,11,1506,18,16,177,4903,53,52,27165,6583,1785,16,107348,1808,55,43,142,6.1,No,13,77,22961
New York,Delaware,691,19,4.2,5,6,21,32,7.8,30,52,5,96,10,1789,14,11,59,3406,46,47,29376,4743,1340,19,97855,1598,57,87,166,6.6,No,16,75,19369
New York,Dutchess,3387,16,3.5,4.3,8,16,33,8.6,26,70,18,1178,7,12124,196,213,910,3365,45,52,188307,46100,10888,9,158757,11453,221,599,1014,7.7,No,20,75,143623
New York,Erie,12400,17,3.8,4.6,9,18,32,8.1,25,93,50,5496,16,29797,734,785,3221,3257,44,46,596453,172484,41755,18,118202,53513,925,3931,3249,7.6,No,15,80,438396
New York,Essex,522,16,3.8,4.7,7,18,31,8.6,28,100,5,64,16,1308,14,12,61,3000,45,52,26005,4855,1344,15,107851,1093,56,64,103,3.4,No,13,77,16563
New York,Franklin,643,20,4.4,5,7,22,39,7.4,31,58,5,108,22,2492,29,23,153,4031,55,50,31195,6466,1575,25,102107,2440,51,94,135,7.4,No,14,78,19136
New York,Fulton,831,19,4.3,5.1,8,23,32,7.9,30,66,3,166,26,2014,19,13,123,4561,43,48,34133,7417,1940,20,101441,3413,49,110,166,6.7,No,13,82,24290
New York,Genesee,774,17,3.9,4.8,6,19,33,8.6,28,56,10,151,14,1985,16,20,93,3354,47,50,38148,8825,2129,13,108972,2128,71,130,233,7.3,No,12,82,28502
New York,Greene,720,19,4.1,4.8,7,20,34,8.4,30,62,7,139,12,1687,17,18,43,3884,39,45,31005,5692,1683,16,112701,1285,44,106,177,6.8,No,18,79,20399
New York,Hamilton,,20,4.4,5.2,6,22,33,7.1,30,100,0,,,218,1,,3,2795,47,50,2772,400,169,14,108179,88,6,4,,6,No,14,78,2029
New York,Herkimer,845,18,4.1,5,7,21,34,8,28,57,5,160,18,2237,18,24,48,4486,49,49,39642,8115,2250,16,106268,2278,67,126,188,6.5,Yes,11,81,28103
New York,Jefferson,1275,19,4.1,4.8,7,20,34,7.6,30,52,19,822,34,4191,61,104,254,4384,50,52,64484,20264,3753,18,101390,6039,119,250,378,6.8,Yes,13,78,51510
New York,Kings,25999,20,4.1,4.4,8,14,26,8.2,30,100,30,23105,15,155196,1799,1676,6449,4350,34,38,1481319,578662,144278,24,143685,178872,1366,15395,4818,7.9,No,34,18,1181076
New York,Lewis,292,18,4.2,5.1,7,20,37,8.1,29,39,9,50,15,1047,17,5,58,5162,53,49,16777,3448,874,17,103307,900,42,36,100,6.1,Yes,13,78,11732
New York,Livingston,715,17,3.9,4.8,7,19,32,8.5,27,69,4,168,6,2114,25,31,82,3941,47,52,39051,8412,2104,12,109310,2480,75,79,215,6.7,Yes,15,80,28790
New York,Madison,764,16,3.9,4.8,7,19,34,8.4,26,60,4,217,9,2311,48,26,149,3861,50,45,44516,9053,2529,14,116327,2363,63,109,203,6.1,No,12,80,32912
New York,Monroe,8452,17,3.7,4.5,9,18,32,8,28,85,44,5787,14,24849,805,632,2320,4420,44,52,467677,141603,30774,20,122162,50433,674,2443,3038,7.4,No,16,79,357826
New York,Montgomery,722,22,4.5,5,8,21,36,6.2,32,52,2,151,28,2044,27,30,43,4804,45,49,30031,7068,1934,20,102619,3169,42,71,154,6.9,No,16,79,21836
New York,Nassau,12063,14,3.1,3.8,8,12,27,9.9,24,97,64,4960,6,53385,1950,1649,4541,3224,45,55,865245,246954,58907,6,222487,45296,1141,1949,3011,8.7,No,20,66,670314
New York,New York,13274,17,3.3,3.8,8,11,22,8.4,22,100,16,17818,9,73874,2256,2973,15519,2819,41,49,1098289,506463,82035,19,224534,80059,2128,9634,3434,10.4,No,24,6,874997
New York,Niagara,3213,17,4,4.9,8,21,32,8,27,83,9,940,18,7153,86,107,290,4279,42,42,138193,34421,10199,15,111507,10972,210,838,747,8.7,No,13,83,97850
New York,Oneida,3327,18,4.1,4.8,8,20,32,7.9,29,76,31,851,20,9299,172,124,424,4297,52,49,141329,34486,8175,18,111153,12007,242,658,858,6.5,Yes,14,80,100633
New York,Onondaga,5458,16,3.8,4.6,8,17,32,8.1,28,90,41,2984,15,17751,439,353,1336,4088,54,54,288576,81278,18446,20,123247,27892,485,1485,1746,5.1,No,15,78,216598
New York,Ontario,1302,14,3.5,4.5,7,17,32,8.7,25,72,10,316,9,3475,84,63,267,4296,52,53,72483,17751,3954,11,124868,4970,102,165,335,6.6,No,12,81,54015
New York,Orange,3969,17,3.7,4.3,7,15,32,8.5,30,78,41,1761,13,15775,266,264,988,4066,43,51,219792,57506,15308,16,153704,16055,272,921,1162,6.4,Yes,21,74,175734
New York,Orleans,616,20,4.4,5.1,7,21,32,8.2,31,58,3,151,23,1817,3,9,26,4134,43,45,25969,5175,1433,20,102810,1903,45,72,124,7.3,No,14,78,17147
New York,Oswego,1585,19,4.3,5.1,7,21,38,8,29,53,26,338,18,4904,49,54,179,4311,52,49,71362,15792,4660,19,110880,6348,114,254,409,6.4,Yes,15,81,53491
New York,Otsego,752,17,4,4.9,6,20,30,7.5,26,46,6,273,7,2160,67,31,123,4091,50,51,37099,7921,1921,17,105775,1979,74,90,182,6.4,Yes,16,76,27183
New York,Putnam,896,14,3.2,4,7,14,27,9,23,71,4,213,3,3369,47,58,386,2769,46,52,65838,15381,3785,6,183348,2912,75,47,250,7.9,No,17,75,49590
New York,Queens,22297,21,3.7,4,8,12,25,9,32,96,60,14810,12,191502,1480,1688,4118,3621,36,44,1354905,452776,137723,13,140427,112459,1101,13850,4191,8.3,No,31,32,1083207
New York,Rensselaer,2025,15,3.7,4.6,8,18,31,8.3,26,60,8,747,14,5339,78,70,283,3987,45,53,103570,29824,5640,14,129854,7556,131,488,435,7.5,No,14,79,78916
New York,Richmond,5412,18,3.6,4.2,8,16,30,9.2,30,95,9,1912,9,19502,459,317,1187,3470,41,46,293812,86783,22456,15,164847,21874,204,2824,1183,7.8,No,24,56,213137
New York,Rockland,2882,17,3.6,4.2,6,13,28,8.7,26,84,3,1201,12,15161,295,321,968,3394,44,52,180205,47483,12356,25,190175,11580,369,395,734,8.8,No,26,71,142968
New York,St. Lawrence,1393,19,4.3,5.1,7,21,35,7.3,30,42,9,310,12,4451,58,42,233,4327,52,53,63502,13971,3501,18,103103,4078,107,156,281,7.7,No,15,77,43455
New York,Saratoga,2377,13,3.3,4.3,7,15,30,8.9,23,78,16,501,6,6612,161,160,458,3323,52,56,154491,43964,7980,6,153183,6992,172,232,514,7.7,No,11,82,119933
New York,Schenectady,1903,17,3.7,4.5,9,17,34,8.6,26,86,13,868,19,6032,126,124,387,3409,44,54,97779,26956,6202,15,124430,9241,118,664,441,7.5,No,14,78,71750
New York,Schoharie,421,17,4,4.9,7,19,35,8.5,28,14,1,78,11,1160,9,9,44,3274,44,52,20296,3999,1028,16,113048,1252,21,28,89,6.5,No,12,78,14125
New York,Schuyler,243,18,4.2,5,5,21,33,8.2,29,44,2,36,21,665,10,5,33,4398,45,51,12037,2244,689,17,102109,361,15,13,53,6,No,15,77,8064
New York,Seneca,477,19,4.2,4.9,6,21,31,8.4,29,58,6,80,18,1362,9,10,66,4495,51,55,20958,4359,1244,19,100548,854,38,71,142,6.4,No,11,79,15080
New York,Steuben,1387,18,4.2,5,7,21,33,8,28,44,14,302,18,3881,57,33,199,3505,50,48,61963,14116,3430,18,106151,4835,101,174,311,4.8,Yes,11,79,42982
New York,Suffolk,15878,15,3.3,4,8,14,27,9.3,27,86,139,5370,10,62909,1063,1228,4320,3832,42,54,934154,241435,64951,6,190877,55233,1000,1857,4904,6.8,Yes,22,78,738501
New York,Sullivan,1184,20,4.1,4.7,8,19,34,8.3,31,42,11,283,18,3685,26,32,148,4066,38,50,46363,9704,3157,21,118412,3991,80,197,367,7.2,Yes,17,81,32051
New York,Tioga,614,17,3.9,4.8,7,20,31,8.7,27,49,4,124,20,1621,15,9,75,4462,47,50,31873,6708,1732,12,112819,1884,56,57,156,6.6,No,11,83,22201
New York,Tompkins,805,15,3.6,4.4,6,15,27,8,24,77,9,515,4,3475,83,59,418,2649,46,52,56693,19274,2962,12,127826,4176,104,128,313,6.2,Yes,20,58,49608
New York,Ulster,2292,17,3.8,4.5,7,17,31,8.1,27,71,17,605,10,7976,120,120,665,3839,41,49,118973,27781,6901,14,132279,7549,169,313,692,7.4,Yes,20,75,83539
New York,Warren,844,15,3.7,4.6,7,17,33,8.2,26,94,6,144,14,2128,75,60,260,3365,53,50,44244,10008,2593,14,124289,2809,77,90,173,7.2,No,14,82,31668
New York,Washington,882,18,4.1,4.9,7,20,32,8.5,28,58,5,118,22,2344,22,13,91,3440,46,49,39433,8086,1954,16,107689,2578,58,88,182,7.3,No,14,83,27144
New York,Wayne,1248,17,4,4.9,7,19,32,8.6,28,54,12,309,16,3067,24,42,101,5464,44,49,57468,12719,3172,12,112007,3672,94,163,327,6.7,No,11,82,43325
New York,Westchester,8329,16,3.3,3.8,8,11,26,9.3,25,98,38,4321,8,45099,1336,1076,4130,3165,47,54,594341,173438,40187,9,219562,42939,837,2149,2098,9.3,Yes,23,56,469568
New York,Wyoming,498,18,4,4.8,7,20,33,8.4,28,55,6,66,10,1289,11,19,91,3888,46,49,26598,5916,1336,11,102884,1329,61,46,127,7,Yes,10,82,18356
New York,Yates,339,18,4.1,5,4,20,30,8.9,28,43,3,36,12,1520,13,12,29,3415,52,55,14389,2570,752,22,102159,1262,31,19,86,6,No,15,71,10873
North Carolina,,143360,18,3.7,4.4,9,19,34,6.6,26,68,1864,70257,21,1139623,7497,6198,29197,4096,48,53,6281557,1839005,363458,18,113094,627983,11889,35268,42426,7.5,,15,79,4829643
North Carolina,Alamance,2556,21,4.1,4.6,9,19,38,7.1,30,73,32,1021,19,19822,71,90,270,4522,45,52,97721,24534,5832,18,103901,10193,164,602,765,8.5,No,16,86,76584
North Carolina,Alexander,606,21,4.3,4.9,8,22,33,7.3,29,19,4,73,23,3867,9,9,21,4417,47,46,22429,4041,1317,17,99709,1794,58,72,156,8.4,No,12,83,16375
North Carolina,Alleghany,211,25,4.8,5.1,8,24,35,7,32,17,2,23,40,1535,12,2,27,4395,41,53,6706,1140,307,31,79814,420,13,14,61,7.1,No,13,81,4538
North Carolina,Anson,536,26,4.6,4.9,13,24,40,7.6,34,18,8,237,35,2372,10,5,21,7144,43,46,14295,2988,805,29,81472,2133,25,92,133,7.9,No,17,83,10220
North Carolina,Ashe,470,20,4.2,4.8,9,22,34,6.8,27,49,3,28,28,3261,14,9,44,4255,48,53,17770,3817,786,22,84799,1196,23,22,111,6.8,No,9,79,12159
North Carolina,Avery,295,21,4.3,4.8,10,23,35,7.7,29,100,1,31,20,2135,5,6,80,2256,35,48,11493,2548,462,24,87077,417,34,30,78,6.5,Yes,15,78,6340
North Carolina,Beaufort,891,22,4.3,4.8,11,21,37,6.9,29,45,5,296,26,5040,22,18,76,3549,56,54,30344,6022,1228,29,97554,3414,54,140,252,6.6,Yes,15,86,19496
North Carolina,Bertie,363,27,4.7,5,13,25,42,5.3,35,26,7,122,32,1639,3,2,10,4514,50,40,11266,2076,486,32,73006,1652,50,34,96,6.8,No,21,80,6806
North Carolina,Bladen,695,26,4.8,5.1,11,24,39,6.8,33,34,17,172,31,3994,7,13,26,4912,44,35,19891,4045,1046,36,79709,2498,42,78,210,6.7,No,18,83,12158
North Carolina,Brunswick,2355,17,3.7,4.5,9,19,32,7.4,25,71,35,462,26,12873,63,56,147,3021,60,58,100301,15624,4605,20,109390,5631,112,162,640,6,No,16,80,53243
North Carolina,Buncombe,3560,17,3.7,4.4,9,17,28,7.2,23,68,45,1241,17,29493,369,204,1885,2912,48,56,175720,51373,11366,17,112204,10381,342,666,1336,6.6,No,15,78,126587
North Carolina,Burke,1617,22,4.4,4.9,9,23,36,6.6,29,53,17,352,29,10688,54,42,265,2763,48,54,54360,11705,2869,30,85649,4122,123,156,453,8.2,No,13,86,38817
North Carolina,Cabarrus,2409,18,3.6,4.2,9,17,36,7.9,25,68,27,1175,17,20893,187,108,639,4989,49,52,127349,39758,7571,11,133581,11400,226,229,791,9.1,No,13,80,103575
North Carolina,Caldwell,1537,22,4.4,5,10,24,36,6.3,30,62,11,322,30,9855,37,25,63,3553,51,56,48171,9846,2823,19,90647,3945,108,137,351,8.1,No,13,83,35210
North Carolina,Camden,130,19,3.9,4.7,7,21,32,8.5,26,37,1,25,9,1016,1,,4,4540,54,49,6693,1515,251,9,105396,647,10,7,51,6.4,No,12,83,4585
North Carolina,Carteret,1283,17,3.7,4.5,7,19,33,7.3,25,83,9,232,16,6861,51,54,119,3699,49,50,48541,10288,1947,16,109971,2441,86,,355,5.9,Yes,13,84,30611
North Carolina,Caswell,455,23,4.3,4.8,11,23,37,7.6,31,27,11,96,24,2162,4,4,9,6228,49,47,13553,2615,752,24,87378,1205,30,59,139,8.2,No,13,86,9218
North Carolina,Catawba,2455,20,4,4.6,8,20,36,7.2,28,59,21,685,22,19832,105,95,380,3237,51,56,95173,23116,6220,17,102124,9021,219,413,636,8.2,No,13,84,73000
North Carolina,Chatham,876,17,3.5,4.1,9,16,31,8.1,23,57,15,229,14,7803,71,39,110,2437,45,61,47967,9418,1910,13,152464,3235,74,116,301,8.7,No,13,76,32634
North Carolina,Cherokee,558,20,4.3,5,9,23,33,7.3,28,99,10,46,29,3261,12,9,41,3132,40,46,19524,3359,868,25,81969,1137,29,58,156,7.3,No,12,78,10807
North Carolina,Chowan,271,22,4.2,4.8,10,21,38,6.4,30,27,4,83,28,1207,12,5,16,2969,50,52,8918,1842,336,29,92903,1108,17,66,67,6.5,Yes,16,85,5418
North Carolina,Clay,198,19,4.1,4.8,8,21,33,7.7,27,98,1,27,27,1302,6,8,17,2339,42,46,7646,1263,301,24,91051,279,15,26,64,6.9,No,17,75,4408
North Carolina,Cleveland,1966,23,4.5,5,11,23,37,7,30,50,25,629,32,10527,48,44,144,5770,44,51,57792,12712,3801,22,88887,8009,179,174,502,8.7,No,15,84,40411
North Carolina,Columbus,1204,26,4.8,5.1,12,25,38,7.2,34,38,23,315,37,6779,18,13,79,6087,42,46,33015,6567,1839,27,81008,3737,45,216,323,6.5,No,16,86,19892
North Carolina,Craven,1739,20,4,4.5,8,19,34,7.1,28,73,13,785,31,9938,73,61,257,3398,59,58,60219,16201,2699,19,102216,5673,125,257,524,6.5,Yes,15,79,45754
North Carolina,Cumberland,4706,22,4.1,4.5,10,20,35,6.4,31,71,57,4337,29,34470,257,356,1275,5103,39,40,190091,68836,12001,25,92099,29332,311,1790,1513,7.3,Yes,17,79,153802
North Carolina,Currituck,396,17,3.7,4.6,8,19,32,8.5,24,69,3,46,12,2944,9,6,15,5466,42,48,17690,4815,875,15,121739,1209,27,43,108,6.5,No,15,83,13421
North Carolina,Dare,551,15,3.5,4.3,6,17,31,7.6,22,67,2,67,14,3918,20,25,70,2298,45,50,26003,5609,1912,13,120843,1353,54,88,172,6.3,No,16,77,18241
North Carolina,Davidson,2908,21,4.3,4.9,10,22,38,7,29,56,31,685,25,19706,44,39,184,4471,45,52,99790,23464,5605,18,96855,9084,175,296,800,9.3,No,13,82,74058
North Carolina,Davie,634,19,3.9,4.6,8,20,32,7.4,26,51,9,144,18,4369,20,17,32,3256,50,58,27343,5317,1370,13,113032,1856,42,61,206,9.1,No,12,83,19684
North Carolina,Duplin,889,28,4.9,4.9,9,23,39,7.2,35,17,15,328,38,10019,13,13,39,4173,49,42,31536,7121,1392,27,83057,4583,56,139,233,6.8,No,16,81,24610
North Carolina,Durham,3237,18,3.5,4,9,15,34,7.7,27,87,40,2919,18,36915,407,241,2184,3811,49,59,196496,76970,11118,16,127388,20560,337,1996,1075,9,No,17,75,161113
North Carolina,Edgecombe,1239,28,4.8,5.1,13,25,41,6.6,36,49,19,634,38,4790,17,14,33,5151,51,50,30121,6033,2191,45,84991,5495,59,253,304,7.5,Yes,19,81,20794
North Carolina,Forsyth,5033,20,3.9,4.4,11,18,37,6.9,27,76,55,3059,19,43632,446,244,1248,4070,50,54,226593,64754,13700,19,108101,26834,407,2122,1632,9.2,No,16,81,174111
North Carolina,Franklin,1052,21,4,4.6,9,21,36,8.2,30,52,22,335,21,7749,6,11,80,4468,47,57,41096,10388,2120,16,106206,3480,57,91,303,8.4,Yes,12,84,30478
North Carolina,Gaston,3911,21,4.2,4.8,10,21,34,6.9,30,66,29,1640,24,25668,129,124,613,5189,46,53,131858,35802,8782,16,104211,13876,296,784,913,9.1,No,15,85,101786
North Carolina,Gates,211,20,4.1,4.8,11,22,36,7.3,29,27,2,48,21,1068,,1,1,5018,46,46,7460,1173,290,20,93500,589,12,,55,6.7,No,13,89,4811
North Carolina,Graham,172,23,4.7,5.2,9,25,35,7.3,30,100,0,17,41,1200,2,2,8,2485,29,39,5054,1087,305,24,85133,384,12,25,42,6.8,No,8,84,3336
North Carolina,Granville,931,21,4.1,4.6,10,21,36,7.6,29,38,28,410,19,6156,28,19,225,4383,43,50,36532,9219,1734,15,107173,3825,71,172,219,8.6,No,13,84,26508
North Carolina,Greene,349,27,4.7,4.8,11,24,42,7.7,35,11,3,177,32,3062,3,7,8,5190,42,50,11479,2936,539,30,80205,1711,16,,84,7.1,No,17,85,8218
North Carolina,Guilford,6763,19,3.8,4.4,10,19,35,7.6,28,86,94,5274,15,57058,419,311,1677,4000,46,54,319109,99136,22064,19,111237,39589,599,2344,2214,7.3,No,16,80,251864
North Carolina,Halifax,1125,28,5,5.2,13,26,43,6.8,36,40,30,443,38,5633,26,17,82,5711,46,46,28530,5684,1844,31,76530,5309,56,235,285,7.6,No,17,82,18106
North Carolina,Harnett,1852,21,4.1,4.6,9,20,37,7.5,28,45,34,779,22,17293,39,65,132,5131,39,50,77145,25776,3957,20,100515,9016,102,302,572,8.2,No,14,85,57040
North Carolina,Haywood,1104,18,3.9,4.7,9,20,33,7.6,24,81,6,173,22,5782,46,28,242,4463,46,50,41247,9027,2160,21,98895,2603,96,164,388,6.9,No,14,82,27127
North Carolina,Henderson,1602,17,3.7,4.4,8,18,32,7.5,24,78,17,318,22,12599,108,71,257,2356,49,54,79320,15932,3618,17,106864,4830,125,136,597,7.2,No,12,81,53745
North Carolina,Hertford,459,26,4.7,4.9,11,24,43,6.6,34,54,11,156,20,2196,16,9,50,4557,44,46,13939,2890,627,28,78304,2093,34,72,113,6.9,No,19,81,8755
North Carolina,Hoke,740,24,4.4,4.8,9,21,40,7,32,50,19,421,27,7934,11,6,89,5560,43,40,30843,10870,1710,21,100228,3863,31,65,215,7.5,No,17,82,22363
North Carolina,Hyde,100,26,4.7,4.9,7,24,40,4.1,34,65,0,6,24,562,1,,1,2597,46,46,3014,749,183,28,80561,113,4,,27,5.9,No,16,82,1819
North Carolina,Iredell,2308,18,3.7,4.4,8,19,33,7.9,26,66,29,750,18,19485,132,99,407,4509,49,53,111584,29843,6519,14,122922,8967,207,430,656,9.3,No,13,80,85805
North Carolina,Jackson,640,19,4.2,4.8,9,21,35,7.6,26,99,7,277,15,5921,37,21,200,3445,39,48,24664,5563,1499,20,90459,1862,53,89,208,6.6,Yes,16,80,18276
North Carolina,Johnston,2601,20,4,4.5,8,19,34,8.2,29,67,50,952,20,25998,58,54,221,5064,48,54,119613,35611,6241,14,115820,10815,177,331,719,8.1,Yes,12,83,96132
North Carolina,Jones,190,26,4.9,5.2,7,25,38,7.3,34,47,4,48,23,1226,5,,4,5160,54,55,5890,1000,242,29,82014,644,7,,44,6.2,No,18,85,3657
North Carolina,Lee,1013,23,4.2,4.6,10,20,35,7.2,30,76,18,328,30,8032,36,32,117,4984,47,54,35235,9292,2071,22,98597,4004,95,108,287,8.2,No,15,83,27228
North Carolina,Lenoir,1214,26,4.8,5,11,24,40,6.1,34,47,11,551,35,6522,26,29,84,5913,48,51,31873,6827,1708,26,81209,4635,83,434,291,6.9,No,17,82,23095
North Carolina,Lincoln,1320,18,3.9,4.6,8,19,34,7.6,26,64,20,290,21,9115,41,38,64,4615,49,57,54055,12231,2852,13,116953,3293,111,124,313,9,No,11,85,39376
North Carolina,McDowell,858,21,4.3,4.9,10,23,34,7.5,30,59,6,169,29,5200,14,18,85,3222,46,43,28093,6366,1432,23,86859,2393,65,70,208,7.2,No,11,85,18814
North Carolina,Macon,568,19,4.1,4.7,9,20,33,7.4,28,100,9,74,28,4592,22,20,87,1745,44,48,23667,4065,1033,19,89422,1571,55,38,205,6.9,No,13,84,13917
North Carolina,Madison,391,19,4.1,4.8,9,21,32,7.2,27,81,9,68,19,2121,14,5,38,4063,43,44,13848,3113,661,20,97844,583,21,7,108,6.9,No,13,81,9432
North Carolina,Martin,496,24,4.6,5,12,23,38,7.4,32,32,7,186,31,2180,9,7,23,5924,49,52,13668,2682,617,32,76547,1849,35,101,102,6.8,No,14,82,9341
North Carolina,Mecklenburg,10128,17,3.4,4,10,15,29,8.2,22,87,182,9737,19,127730,986,791,3756,3750,47,54,668653,268580,47927,16,139322,74719,1027,6039,3217,9,No,16,73,571223
North Carolina,Mitchell,314,20,4.2,4.8,9,21,34,7.6,28,100,1,37,28,1604,9,11,16,2762,43,42,9628,2120,459,20,88860,655,27,,96,5.7,No,13,82,6317
North Carolina,Montgomery,507,23,4.4,4.8,11,21,36,7.5,31,70,5,132,33,3536,6,5,37,4144,50,52,15562,2746,755,24,81559,1251,24,63,128,6.7,Yes,15,87,10611
North Carolina,Moore,1290,17,3.6,4.3,8,17,31,7.7,24,65,23,417,20,9196,114,62,243,3498,53,58,66488,16765,2938,13,119690,4588,124,142,418,8,Yes,13,81,43225
North Carolina,Nash,1702,22,4.2,4.7,10,21,35,7.6,30,49,42,752,26,9344,49,60,127,5688,51,54,56458,11884,3539,22,97632,6376,115,401,434,7.9,No,15,85,40977
North Carolina,New Hanover,2837,17,3.7,4.4,8,17,32,7.2,23,86,25,1282,12,22453,216,183,1119,3243,55,58,148417,45914,8761,14,117153,11631,224,975,997,3.5,Yes,19,79,112465
North Carolina,Northampton,402,27,4.7,5,12,25,42,7.8,34,14,13,183,36,1740,1,4,15,5126,46,48,12139,2270,550,32,75936,1400,27,42,103,7.5,No,15,85,6865
North Carolina,Onslow,2288,20,4,4.5,7,19,35,6.4,29,46,26,2327,45,16678,67,207,507,4047,43,44,98350,39773,4623,16,93976,9932,132,320,729,6.1,No,14,72,101784
North Carolina,Orange,1134,15,3.3,4,8,14,30,8.4,21,82,16,738,4,12277,279,337,1059,2458,48,62,84901,29440,4172,9,164297,5518,152,228,366,8.7,No,17,65,70696
North Carolina,Pamlico,236,21,4.2,4.8,10,22,36,7.8,29,52,2,52,22,1191,4,4,14,3439,61,59,8861,1496,295,27,99445,390,12,21,83,6.1,No,13,85,4403
North Carolina,Pasquotank,688,21,4.1,4.7,9,21,38,7.1,30,63,6,288,21,3756,25,18,91,5433,49,45,24069,6121,1211,24,105411,2865,49,152,169,6.5,No,18,81,17508
North Carolina,Pender,983,19,3.9,4.5,8,19,34,7.7,27,57,21,201,20,6755,20,22,78,3266,49,52,38654,9257,1844,17,115833,3071,52,86,284,5.8,No,16,81,27320
North Carolina,Perquimans,249,20,4.2,4.8,8,21,36,7.8,28,18,1,54,26,1242,2,2,6,3875,49,49,8818,1717,324,26,99670,826,15,20,65,6.4,Yes,17,86,5236
North Carolina,Person,734,22,4.3,4.8,11,22,38,7.5,30,33,5,204,31,3972,15,16,40,4539,51,58,24942,5675,1332,20,103363,2222,56,89,193,8.3,No,15,82,18750
North Carolina,Pitt,2267,21,4.1,4.6,11,19,39,7,30,63,23,2242,15,17828,202,171,729,5424,50,52,98023,32714,5946,22,100758,14452,174,720,702,6.1,No,22,80,83565
North Carolina,Polk,323,17,3.8,4.5,7,19,33,8,25,51,2,31,20,1969,13,7,37,2917,43,49,14752,2334,556,19,101664,573,36,13,124,7.7,No,13,79,8903
North Carolina,Randolph,2550,22,4.4,4.9,9,22,37,7,31,50,22,574,26,20225,69,52,154,4100,44,55,82710,17888,4725,20,92832,7081,158,223,781,8.9,No,12,84,64165
North Carolina,Richmond,975,27,4.9,5.2,12,25,38,6.2,34,34,11,434,41,5159,13,13,87,6401,52,48,25346,5972,1533,34,81962,4841,66,227,222,7.7,No,16,89,18539
North Carolina,Robeson,2767,32,5.7,5.7,12,29,44,6.6,36,35,73,1232,39,19377,55,37,275,7296,41,41,66204,15152,4420,39,77619,13459,146,613,860,7.4,No,16,86,47660
North Carolina,Rockingham,1928,23,4.5,5,9,23,37,6.9,30,54,15,466,25,9758,34,34,124,4968,42,53,54785,11109,3260,22,89643,5809,136,222,520,8.3,Yes,13,85,39126
North Carolina,Rowan,2528,21,4.2,4.8,10,21,35,7.2,30,61,20,869,27,16376,58,68,336,4468,47,49,83739,19650,5174,22,96930,9625,200,525,806,9.2,No,13,83,61709
North Carolina,Rutherford,1310,22,4.5,5.1,9,23,35,7,30,37,8,278,29,7051,28,17,105,4219,42,52,40880,8266,2281,26,81044,3878,134,122,329,8.1,No,14,81,26284
North Carolina,Sampson,1040,26,4.6,4.8,9,22,40,7.6,33,38,13,393,40,10177,27,18,26,6077,47,48,34400,7524,1661,28,86008,4454,85,144,297,7.5,No,18,83,26126
