State,County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation__Black/white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Florida,Gadsden,75.5,876,23,38,17,15,254,6240,1250,14,71,43,4833,31,62,16,2.8,3.2,0.06,12121,0.87,42698,85,42,31,19,10,31,39,25,70,12643,1977,64,45277,52.4,30329
Florida,Gilchrist,77.1,315,13,,17,11,24,2700,12,,35,39,2003,69,88,,3.3,3.6,0.02,10726,0.87,52000,50,81,26,3,11,20,18,30,22,5529,510,70,18885,48.3,14215
Florida,Glades,84.1,236,,,18,14,90,1840,3082,11,34,40,1932,42,93,,3.1,3.4,0.21,10972,0.71,45328,38,64,36,4,,12,,30,53,3894,371,65,14198,44.4,9101
Florida,Gulf,75,309,,,15,10,29,2180,300,11,20,41,1133,111,83,,3,3.2,0.04,14445,0.81,51593,57,26,29,5,,16,11,23,45,4460,716,78,13534,49.9,12228
Florida,Hamilton,75.4,269,,,20,14,150,2730,1408,,28,41,1196,14,73,,2.9,3.2,0,11212,0.83,41871,66,31,31,5,17,11,14,98,27,3168,508,68,14521,42.2,9395
Florida,Hardee,79.1,358,12,,19,15,59,4110,3611,16,55,40,3581,45,81,,3.2,3.4,0.01,9895,0.98,46264,66,43,27,15,,18,14,64,132,5354,665,65,26822,47.3,13258
Florida,Hendry,77.7,567,24,21,19,16,137,6270,2838,25,84,42,8268,49,84,,2.9,3,0.07,9699,0.8,45652,65,60,36,17,10,30,37,33,103,9058,2092,76,42813,47.3,14831
Florida,Hernando,76.7,3556,74,75,15,11,389,25990,21319,168,251,39,19271,86,89,6,3.3,3.4,0.02,8715,0.82,52108,53,35,25,54,4,186,149,23,124,60806,9513,87,198792,51.7,33476
Florida,Highlands,77.8,2006,46,42,16,13,255,15730,17493,91,175,37,12072,91,81,14,3,3.2,0.03,9424,0.88,48922,60,51,29,34,6,133,107,46,128,32883,4118,77,106639,51.3,20810
Florida,Hillsborough,79.1,16654,712,839,13,11,7043,164350,101032,1044,1352,38,165496,166,87,7,3.1,3.1,0.14,9077,0.84,65272,58,45,26,524,5,979,853,24,590,320042,84551,90,1497957,51,43181
Florida,Holmes,72.5,499,,,19,13,27,3510,3716,12,41,42,2244,66,85,,3.2,3.1,0.04,9848,0.96,41969,52,52,33,6,,22,17,23,5,5421,594,76,19594,46.9,15697
Florida,Indian River,80.7,2328,40,47,14,10,397,18360,18467,108,144,37,17359,120,88,,3.2,3.3,0.07,9817,0.86,72934,56,59,19,48,5,154,123,28,189,48767,7555,84,162518,52,6857
Florida,Jackson,73,1044,37,32,18,13,449,7340,2703,25,114,40,3877,150,85,9,3.3,3.4,0.11,10170,0.82,44108,54,38,33,15,8,39,40,24,38,12553,1770,77,46085,46,37490
Florida,Jefferson,76.7,260,11,,16,12,130,1810,857,12,21,39,1201,14,,,2.8,2.9,0.01,9592,0.86,54354,73,21,25,7,,14,13,43,38,4234,515,75,14543,47.7,14761
Florida,Lafayette,76.5,148,,,17,12,13,910,404,,17,41,932,47,98,,3.3,3.5,0,9786,0.94,41635,54,42,28,3,,,,,44,1802,251,75,8482,44,8870
Florida,Lake,78.6,5561,145,157,14,11,1042,41140,35183,251,455,40,36843,106,87,7,3.3,3.4,0.06,8945,0.84,58501,41,40,27,82,4,365,287,24,210,103269,17170,88,375492,51.6,57194
Florida,Lee,82.4,9790,260,269,14,10,2212,85350,74222,767,729,37,84559,117,84,7,3.2,3.2,0.11,9657,0.89,66140,48,60,26,156,5,611,505,21,248,209905,43921,87,790767,51.1,36013
Florida,Leon,78.7,3146,142,161,13,11,1302,36930,25892,99,207,38,25483,164,92,5,3.3,3.4,0.18,9439,0.83,61403,41,46,26,108,6,171,173,33,334,61283,21141,89,295460,52.8,33911
Florida,Levy,75.4,872,21,23,18,12,89,6610,1718,30,112,40,5176,78,89,,3,3.1,0.04,9573,0.9,41894,63,50,32,15,6,33,33,38,46,13482,1707,71,42214,51.1,37557
Florida,Liberty,75.7,137,,,18,13,14,1260,842,,12,39,633,60,88,,3.4,3.5,0.07,13278,1.12,46734,45,86,28,2,,,,31,18,1977,272,68,8364,38.1,8365
Florida,Madison,74,382,11,,18,14,112,3090,2227,11,26,42,1847,86,83,31,3.1,3.2,0.15,10331,0.78,41650,54,42,32,8,10,13,15,31,4,4997,1060,62,18707,47.1,15381
Florida,Manatee,81.3,5528,142,133,14,10,1088,44200,19827,356,414,37,43236,100,83,8,3,3.1,0.11,10248,0.87,63328,50,54,26,104,6,362,302,30,340,110989,21138,86,411219,51.8,18693
Florida,Marion,75.6,7142,200,206,15,11,1085,48840,39345,436,581,40,37694,120,84,10,2.9,2.9,0.06,9760,0.84,48553,62,49,31,89,7,400,359,36,120,109169,17885,84,373513,52,102796
Florida,Martin,81.8,2018,48,49,13,9,362,17660,14984,144,140,36,15317,155,87,5,3.2,3.3,0.14,10030,0.84,72736,42,61,25,36,3,162,105,25,226,51489,8920,87,162088,50.8,12403
Florida,Miami-Dade,81.6,25969,928,1036,15,14,26597,276980,45403,930,2226,39,390264,170,86,7,3.3,3.4,0.33,9888,0.86,59259,68,71,25,1215,8,1279,1495,11,1278,465833,220396,80,2707303,51.3,10095
Florida,Monroe,81.5,1182,16,21,12,10,539,8080,6644,71,91,38,10547,93,86,,3.3,3.3,0.08,13904,0.87,68584,48,51,24,22,4,120,72,28,395,19388,6983,86,73900,48.1,6369
Florida,Nassau,77.6,1433,41,32,13,9,138,9710,8891,76,126,37,6977,82,92,7,3.6,3.6,0.04,9363,0.74,75123,45,49,22,28,6,89,70,14,94,27444,3469,90,91113,50.8,35298
Florida,Okaloosa,77.4,2852,102,105,13,10,456,25060,20079,180,214,39,21735,132,88,6,3.4,3.5,0.05,9316,0.76,65977,43,36,23,68,5,209,170,33,294,52273,9941,87,212820,49.2,21878
Florida,Okeechobee,75.9,792,24,22,18,14,103,6050,10915,36,93,41,5899,83,76,24,3.1,3.3,0.02,9223,0.89,48028,62,49,34,12,6,36,26,62,132,10921,1362,68,42297,46.3,14618
Florida,Orange,80.2,13516,641,714,14,12,8881,150730,82280,895,1092,41,164386,158,88,6,3.2,3.3,0.16,10173,0.83,69074,55,53,25,466,8,693,789,27,564,262241,81202,90,1404396,51,23402
Florida,Osceola,79.3,4070,153,150,15,14,1380,38980,39985,245,329,37,45992,87,90,11,3.1,3,0.08,8841,0.88,63018,47,29,27,73,5,212,175,20,315,70613,20471,87,385315,50.7,21014
Florida,Palm Beach,82.2,16270,453,470,13,10,8024,154670,54523,1433,1298,38,177107,131,87,6,3.2,3.4,0.18,10366,0.85,68200,58,55,30,410,6,1090,912,22,704,391273,106568,87,1507600,51.6,13763
Florida,Pasco,77.4,9365,203,197,14,10,1225,66920,56097,659,665,39,59343,98,89,8,3.2,3.2,0.04,8870,0.86,52332,54,43,32,112,3,541,363,24,194,153406,26699,84,570412,51.4,43990
Florida,Pinellas,78.8,16105,289,353,13,10,4703,121620,46935,1195,883,38,100352,147,88,7,3.1,3.3,0.12,9952,0.87,61532,47,61,33,377,5,972,639,38,599,281412,63684,85,976802,52,2603
Florida,Polk,78.1,10775,367,411,15,12,2581,88770,80929,502,917,40,85620,90,81,10,3.1,3.2,0.07,9900,0.84,54591,49,41,26,220,5,527,429,36,260,167295,31847,76,744552,51,81346
Florida,Putnam,73.1,1728,64,56,19,13,254,12210,4984,48,220,41,8958,68,86,18,2.9,3,0.14,10250,0.8,36527,69,42,33,22,9,91,88,33,98,21286,3468,76,74815,50.7,41765
Florida,St. Johns,81.8,2647,68,73,11,8,359,22900,10407,117,241,34,18812,80,94,3,3.7,3.7,0.04,8661,0.71,94343,18,52,22,58,3,246,159,14,165,74318,10366,90,278715,51.3,45179
Florida,St. Lucie,80,4679,112,111,15,11,1722,36550,42274,233,316,40,38653,93,90,7,3,3.1,0.04,9425,0.83,59023,56,44,27,74,6,243,215,30,308,89045,17883,88,337186,51.2,9326
Florida,Santa Rosa,77.3,2563,84,72,13,9,247,20200,14398,122,167,39,15568,79,89,6,3.4,3.5,0.03,8967,0.73,71583,41,42,20,37,4,197,142,22,173,50670,7066,91,189139,49,31772
Florida,Sarasota,81.5,5998,98,97,12,9,992,47540,26981,368,360,35,38882,122,89,3,3.5,3.5,0.09,11595,0.8,66138,45,61,30,121,3,451,278,16,301,144135,26570,87,443465,52.4,16394
Florida,Seminole,80.5,4837,180,181,12,10,1297,46720,25902,312,332,38,39982,93,93,3,3.4,3.5,0.06,8634,0.82,71930,47,38,27,146,4,308,251,27,371,117211,24848,91,474171,51.6,13348
Florida,Sumter,80.2,2107,33,37,12,10,261,14570,5594,68,122,39,5210,66,87,16,3.4,3.4,0.07,9925,0.89,60278,48,66,27,23,3,109,83,35,79,52354,6412,87,139018,50.4,32664
Florida,Suwannee,75.6,820,30,27,16,12,157,6190,2233,20,93,41,4760,60,94,,3.2,3.3,0.04,9547,0.89,46264,58,65,25,14,4,49,43,35,38,11641,1481,80,44851,48.7,34557
Florida,Taylor,74.3,475,,,19,12,141,3510,3329,11,36,41,1857,97,83,,3.1,3.3,0.02,10185,0.85,45527,58,59,25,12,10,22,26,43,66,5598,572,74,21600,45.5,15637
Florida,Union,67.2,558,10,,17,13,283,2280,3029,15,20,45,841,46,83,,3.4,3.5,0.01,8936,0.9,49313,46,34,26,2,,20,11,31,32,2826,329,76,15182,35.5,10478
Florida,Volusia,76.6,10093,186,205,14,11,1812,71190,53616,693,721,40,59980,107,85,6,3.2,3.2,0.12,8908,0.83,55463,60,53,28,175,5,600,447,40,283,156968,33051,83,561497,51.3,49179
Florida,Wakulla,76.1,518,16,,14,10,104,3640,996,12,59,39,2684,35,92,,3.3,3.3,0.01,8899,0.92,64671,,24,21,7,5,31,30,25,37,9603,797,84,34319,46.1,18982
Florida,Walton,78.4,1124,22,28,14,10,84,9010,5545,47,87,40,7937,82,89,,3.4,3.4,0.04,10132,0.9,74108,48,60,22,17,3,61,43,18,80,21774,3579,86,76648,49.7,34746
Florida,Washington,72.8,570,12,,19,13,152,4200,5407,19,42,43,2854,85,80,,3.4,3.5,0.01,10273,0.79,44661,52,41,31,6,10,31,25,20,36,7130,881,80,25932,45.9,21050
Georgia,,77.3,143179,5682,6449,13,11,56446,1279310,971060,4728,10424,38,1213181,122,83,8,3,2.9,0.26,11181,0.81,62800,60,56,21,,8,7496,8466,,371,2453159,506601,84,10710017,51.4,2415502
Georgia,Appling,73.9,379,14,,18,14,34,2790,4232,,38,41,2581,153,90,,2.8,2.8,0.03,11153,0.67,44871,90,32,21,6,,11,12,,63,4976,699,62,18325,50.2,13028
Georgia,Atkinson,73.1,154,13,,20,16,21,1390,1252,,15,39,1408,48,93,,3.1,3.1,0.01,11034,0.95,39633,85,24,24,2,17,,10,,63,2109,259,67,8393,49.2,8375
Georgia,Bacon,72.5,241,,,18,14,44,1860,145,,25,40,1502,72,93,,2.8,2.7,0.01,11113,0.65,41756,74,31,23,4,,,14,,33,2792,489,73,11036,51.1,7688
Georgia,Baker,79.8,50,,,16,14,9,540,968,,,42,365,101,,,2.4,2.3,,19039,0.6,43696,100,14,22,2,,,,,0,990,131,48,2971,50.4,3451
Georgia,Baldwin,74.4,794,24,26,16,14,131,6600,5889,,60,42,4849,111,91,,2.5,2.4,0.02,11169,0.7,49350,93,22,23,28,12,28,47,,134,9920,3149,80,45099,49.4,16066
Georgia,Banks,76.1,302,19,20,16,12,18,2540,160,11,35,39,2935,57,88,,2.9,3,0.13,11232,0.76,62836,61,39,15,8,,16,13,,17,5144,597,73,19352,49,17260
Georgia,Barrow,76.6,1162,44,39,14,12,129,9010,7846,43,93,39,11254,34,88,7,3.1,2.9,0.01,10298,0.84,64460,53,29,18,27,4,73,50,,80,20915,2884,89,85588,51,20853
Georgia,Bartow,75.4,1776,59,56,15,11,209,13800,11712,75,131,38,14303,99,89,8,3.1,3,0.05,10232,0.78,64980,54,41,17,38,5,95,89,12,156,25704,4142,80,109426,50.7,35283
Georgia,Ben Hill,71,433,10,20,18,15,15,3190,2321,,26,41,2010,108,89,,2.7,2.4,0,11060,0.78,39305,83,30,24,10,10,16,20,,83,3806,871,60,16614,53,5996
Georgia,Berrien,73.9,407,15,,18,13,51,3470,2005,11,23,40,2956,46,87,,3.2,3.1,0.01,9734,0.81,45094,67,28,21,9,,22,19,,8,4862,643,71,19408,50.9,14685
Georgia,Bibb,73,3059,112,165,16,14,1216,24190,20315,40,193,44,15794,273,79,11,2.6,2.4,0.21,11644,0.81,44467,90,53,25,133,18,105,201,34,381,30091,10473,80,152737,53.2,22415
Georgia,Bleckley,76.4,226,,,15,12,45,1820,2402,,16,40,1193,69,93,,3.2,3,0.01,10403,0.67,51448,62,29,19,5,,,11,,58,3093,470,71,12955,52.3,6739
Georgia,Brantley,73.9,415,16,,18,12,22,3100,488,12,34,39,2571,16,85,,3.1,3.3,0.01,10466,0.79,39256,71,35,24,8,,18,17,,14,5326,907,71,19202,50.6,18309
Georgia,Brooks,73.8,320,13,,17,14,67,2280,758,,21,42,2064,33,93,25,2.6,2.5,0.04,12618,0.79,42973,99,42,22,11,,12,13,,49,4470,835,65,15357,51.8,11539
Georgia,Bryan,75.6,531,11,,12,10,53,4290,2916,18,52,36,3655,93,89,,3.4,3.2,0.02,9070,0.73,81890,34,26,14,15,5,31,31,,120,9561,1411,88,40755,50.8,15825
Georgia,Bulloch,77.2,961,40,45,16,13,261,11710,5925,13,85,39,9540,108,80,4,3,2.9,0.12,10619,0.8,48629,61,30,23,55,5,39,49,,122,15193,4225,81,80839,51,33903
Georgia,Burke,73,465,26,29,17,14,100,3200,1774,15,50,44,2409,35,92,,2.6,2.7,0.01,15085,0.75,44870,100,26,21,16,12,14,26,,59,5810,753,78,22648,52.4,17486
Georgia,Butts,73.9,514,11,,17,13,126,3620,2022,15,44,41,2435,51,84,,2.6,2.7,0.01,10971,0.74,52720,89,33,21,8,8,29,25,,60,5950,819,78,25426,47,18437
Georgia,Calhoun,77.2,115,,,20,18,31,960,422,,,45,547,64,,,2.4,2.5,0.32,14574,1.05,37984,82,21,25,3,,,,,0,1174,209,68,6231,39.4,6694
Georgia,Camden,78.1,672,29,28,14,12,96,7060,8995,23,50,38,5538,83,96,8,3.3,3.3,0.01,9858,0.73,67525,46,30,14,27,,39,30,,76,12227,2362,86,55388,48.8,15883
Georgia,Candler,72.4,268,,,19,15,29,2020,43,,31,40,1649,64,25,,2.8,2.5,0.02,9430,0.73,42583,88,15,23,6,,11,12,,14,2329,467,69,10985,51.2,7365
Georgia,Carroll,74.9,1912,70,80,15,12,271,15780,21519,83,166,41,14913,107,92,6,3.2,3.1,0.05,10079,0.79,64554,57,35,15,44,4,109,79,19,131,29043,4770,84,121633,51.4,46228
Georgia,Catoosa,77.8,966,24,22,14,10,55,8250,6175,36,49,37,6143,71,87,,3.1,2.7,0.04,11273,0.79,61906,47,33,18,25,,70,47,,189,18721,2387,86,67996,51.6,17969
Georgia,Charlton,75.4,258,,,19,15,58,2230,385,,,41,1597,67,93,,2.8,2.6,0.04,10655,0.66,46061,69,34,21,4,,15,14,,35,2725,521,70,13430,41.1,6210
Georgia,Chatham,77.6,4032,169,197,13,12,1771,35500,28651,149,246,39,33882,191,88,6,2.7,2.6,0.16,11650,0.83,56357,65,49,20,241,14,239,302,35,421,61038,17094,88,289463,52,11944
Georgia,Chattahoochee,78.1,80,,,15,14,12,1810,4433,,,39,708,19,78,,3.1,3,0.04,11379,1.11,51811,74,38,19,10,,13,11,,20,619,363,80,10551,35.4,3326
Georgia,Chattooga,72.2,572,17,,18,13,53,4100,5477,22,45,41,2939,44,90,15,3,3,0.08,10978,0.76,44399,67,55,22,9,7,24,23,13,85,6262,828,73,24843,49.1,14974
Georgia,Cherokee,80.2,2415,83,79,11,9,402,21960,15116,138,139,35,27622,68,87,6,3.2,3.3,0.06,10245,0.79,90675,29,49,17,116,2,195,131,,172,69011,9846,93,265274,50.8,36659
Georgia,Clarke,79.1,1201,45,63,15,14,448,20980,25477,49,80,38,15760,185,81,3,2.5,2.7,0.09,13545,0.87,46693,75,34,24,59,5,78,80,51,313,20388,11286,86,127795,52.6,6839
Georgia,Clay,73.5,73,,,21,19,12,620,35,,,47,312,105,,,2.3,2,,19866,0.53,35937,100,,27,6,,,,,1,999,160,74,2866,52.6,3183
Georgia,Clayton,76,3804,236,242,16,16,2364,32810,41566,92,300,44,41267,38,67,8,2.5,2.5,0.07,9669,0.86,49370,86,34,31,175,15,138,286,,386,48667,16805,83,292646,53.4,2303
Georgia,Clinch,71.5,175,,,22,16,28,1430,350,,,43,854,61,88,,2.8,2.7,0,11697,0.86,43088,77,10,22,3,,,,,63,1880,239,54,6582,52.2,4108
Georgia,Cobb,80.3,6901,323,378,11,10,3340,64630,55150,386,482,36,82377,121,86,5,3.2,3,0.17,12223,0.83,81517,42,44,19,462,4,489,410,19,532,186378,32797,93,762944,51.5,1694
Georgia,Coffee,73.5,827,32,37,17,14,102,6680,1196,25,65,40,6130,185,84,,3,3,0.04,10514,0.85,44520,87,28,22,19,9,32,38,,95,9644,1565,75,43218,48.7,28202
Georgia,Colquitt,73.4,892,38,38,18,15,186,7110,5797,16,86,40,7641,123,85,12,2.8,2.7,0.07,10695,0.85,41673,87,46,23,29,9,42,48,,75,9884,1840,73,45542,50.5,26821
Georgia,Columbia,80.1,1520,59,82,11,10,238,13190,7338,72,104,38,14245,69,92,,3.3,3.3,0.04,9616,0.78,87489,31,27,13,61,3,114,95,17,152,38345,3336,88,160377,51.2,20131
Georgia,Cook,74.1,309,10,,17,14,72,2800,134,,28,40,2350,69,88,,2.4,2.5,0.01,10049,0.85,35225,75,21,27,8,9,12,18,,149,4068,841,68,17291,51.9,10226
Georgia,Coweta,78.4,1755,68,64,13,10,275,14340,14934,58,127,36,13947,105,87,10,3.2,2.9,0.05,10104,0.71,84121,39,37,13,68,4,114,106,14,127,39875,4851,89,150849,51.5,41929
Georgia,Crawford,74.5,242,,,16,13,25,1810,2077,,24,40,1525,16,68,,2.9,2.8,0.01,10670,0.94,48184,68,64,20,3,,17,17,,1,3540,369,73,12231,49.7,12630
Georgia,Crisp,73.1,504,17,27,19,16,133,4320,820,,27,44,2572,227,88,,2.5,2.6,0,11532,0.84,36871,100,29,26,9,15,24,32,,149,4818,1311,68,22034,52.8,11023
Georgia,Dade,75.5,309,,,15,11,21,2370,,13,21,36,1721,56,83,,3.1,3.1,0.02,10566,0.83,41069,56,37,23,5,,12,,,99,4370,559,79,16057,51,11997
Georgia,Dawson,77.4,399,,,12,9,35,2620,58,21,28,36,2958,85,96,,3.1,3.3,0.02,13283,0.74,75081,43,,15,10,,39,29,20,52,7757,762,88,27113,50.3,17933
Georgia,Decatur,73,560,,,17,15,138,4310,1657,12,53,41,3367,72,85,40,2.9,3,0.03,10333,0.85,42996,98,31,22,14,9,27,29,,83,5932,1159,60,26457,51.4,15724
Georgia,DeKalb,79.9,8352,466,546,12,12,8887,78940,60350,297,574,39,98019,135,72,7,2.8,2.6,0.37,12744,0.93,69545,70,74,22,525,13,366,699,26,918,158102,44762,88,762009,52.8,1820
Georgia,Dodge,75,432,13,,17,14,82,3600,34,12,40,42,2274,98,90,23,2.9,2.7,0.01,10866,0.73,42683,79,27,22,8,11,18,20,,54,5259,936,64,20452,47.8,15743
Georgia,Dooly,76.7,257,,,17,15,60,2090,3755,,20,44,1429,61,83,14,2.3,1.9,0.01,12072,0.71,45112,100,8,21,5,10,,14,,37,3530,424,61,13174,45.7,8006
Georgia,Dougherty,72.8,1770,73,103,17,16,773,15320,23171,41,101,44,10342,208,85,12,2.5,2.6,0.1,12360,0.82,40793,100,48,28,113,17,49,104,67,240,15709,6953,76,86477,54,13201
Georgia,Douglas,77.1,1853,71,76,14,13,571,13950,19855,85,145,40,16280,63,87,9,3,2.8,0.1,10600,0.84,65269,62,31,24,82,6,93,96,,235,32604,6201,84,147988,52.6,20863
Georgia,Early,71.8,257,,,18,16,23,1800,287,,25,44,1100,70,88,,2.6,2.8,0.01,11908,0.79,39697,100,26,24,7,,,,,24,2831,674,52,10037,53.5,7260
Georgia,Echols,79.9,45,,,17,14,,640,739,,,39,695,,98,,2.8,2.5,0.01,10849,0.92,45378,91,57,21,2,,,,,0,1067,75,51,4002,49.4,4034
Georgia,Effingham,76.7,876,39,48,13,10,77,5830,3414,18,78,38,6140,41,90,,3.3,3.1,0.02,10040,0.72,77690,39,35,15,35,4,56,50,,41,16880,1812,78,65765,50.3,35035
Georgia,Elbert,73.7,436,,,17,14,39,3010,2097,13,36,40,2387,16,93,,2.6,2.6,0.01,11754,0.83,43553,76,36,22,7,,12,13,,69,5511,1163,67,19335,52.4,14241
Georgia,Emanuel,72.8,498,13,,17,14,66,3830,3324,,39,43,2701,124,84,,2.9,2.6,0.02,10602,0.86,36243,88,37,26,10,8,11,21,,52,4874,896,71,22507,50.5,15114
Georgia,Evans,74,200,10,,18,15,41,1730,0,,29,41,1368,75,83,,2.2,2.5,0,10658,0.81,51018,97,25,19,6,,12,10,,45,2397,545,75,10638,51.3,6741
Georgia,Fannin,76.8,488,,,14,10,34,3820,99,12,41,36,3070,98,93,,3.3,3,0.02,12968,0.74,44730,57,,21,8,,27,29,,45,8689,1082,84,26521,51.1,23682
Georgia,Fayette,80.7,1141,39,37,10,9,223,7950,6275,34,77,37,8613,188,90,3,3.5,3.4,0.13,11257,0.69,98623,25,47,16,71,4,65,63,17,122,33230,4273,91,115821,51.7,19372
Georgia,Floyd,74.2,1813,63,63,16,12,236,14810,14067,58,102,39,12351,273,92,10,2.9,3.1,0.19,11310,0.81,47423,68,45,24,62,6,98,86,,202,22616,4141,84,98604,51.5,35466
Georgia,Forsyth,82.3,1565,58,56,10,9,165,16360,14155,73,114,34,19269,62,95,3,3.7,3.7,0.12,9884,0.64,116690,15,45,13,124,1,134,86,,93,67620,6760,95,250847,50.4,17414
Georgia,Franklin,73.3,500,12,,16,12,45,4030,,21,33,40,2994,81,91,,2.6,2.7,0.02,11802,0.8,47706,54,47,20,13,9,34,32,,35,5902,828,72,23504,50.8,19639
Georgia,Fulton,79,11370,516,639,12,11,15681,116910,82462,530,754,36,99915,199,84,6,3,2.8,0.35,14523,0.75,71504,56,73,22,835,13,586,946,18,1283,225903,68320,89,1077402,51.7,9921
Georgia,Gilmer,76.6,563,16,,15,11,43,4680,2003,20,60,36,4418,47,92,,2.9,2.8,0.02,11222,0.84,66066,64,,15,9,,50,43,,19,9115,1078,82,31978,50,24796
Georgia,Glascock,74,62,,,16,12,7,430,855,,,39,297,34,,,3,3,0.01,12579,0.6,50800,61,,19,2,,,,,0,820,70,60,2984,50.8,3082
Georgia,Glynn,76.7,1450,46,50,14,11,341,11890,9843,45,76,37,10818,115,93,16,3,2.9,0.07,11064,0.75,59286,58,53,19,55,7,81,76,,229,22228,4342,81,85568,53.2,16376
Georgia,Gordon,74.9,999,32,27,16,12,60,8800,5782,20,66,39,8262,111,94,15,3,2.8,0.06,9859,0.85,54915,60,57,21,24,3,56,44,15,171,13633,2191,74,58780,50.8,28453
Georgia,Grady,76,464,12,,17,14,67,4010,345,,39,41,3457,69,89,,2.6,2.7,0.1,9918,0.93,54601,100,24,18,15,10,17,24,,96,6002,1231,77,24491,51.6,15597
Georgia,Greene,78.3,280,10,,15,13,27,2270,1602,,21,40,1941,101,83,,3,3.2,0.2,14669,0.62,61857,66,44,16,6,,19,19,,9,5662,971,74,18837,51.1,13235
Georgia,Gwinnett,80.6,7540,415,513,12,12,3062,76240,78183,298,550,39,125063,88,80,7,3.2,3.2,0.13,11299,0.88,73460,51,36,21,398,5,522,472,16,325,199187,43353,90,942627,51.2,3910
Georgia,Habersham,76.8,681,22,,15,11,64,5960,3386,26,67,38,6112,80,92,7,3.1,3.1,0.08,11710,0.78,61071,58,52,16,11,4,45,28,,51,12171,1589,76,46047,52.1,25292
Georgia,Hall,78.8,2364,77,83,14,12,296,21890,13252,95,184,35,31711,159,85,6,2.7,2.7,0.17,10423,0.81,67735,59,39,23,91,4,167,126,16,208,45199,7956,89,206591,50.3,36937
Georgia,Hancock,72.3,213,,,19,18,35,1130,2803,,30,46,603,47,83,76,2.4,1.6,,17427,0.78,36424,100,31,26,4,,,,,0,2254,512,48,8494,44.1,5807
Georgia,Haralson,73,641,13,,15,11,33,4370,1777,29,62,38,3603,43,98,,3.1,3.1,0.02,10806,0.79,51431,49,31,19,10,8,32,32,,21,7874,1328,81,30383,51.2,22264
Georgia,Harris,79.2,482,16,,12,10,45,3170,107,16,43,37,2602,14,93,,3.2,3,0.01,10859,0.83,81151,35,27,14,11,,26,21,,20,11093,1160,86,36080,50,30962
Georgia,Hart,77.3,439,11,,16,12,39,3670,,11,39,40,3411,27,95,,3,2.8,0.03,10711,0.81,52401,59,42,22,7,,16,15,,44,7537,1313,74,26406,50.7,18775
Georgia,Heard,74.3,237,,,16,11,13,1740,132,,28,39,1344,33,83,,3.4,3,0.02,11315,0.66,51532,59,20,19,1,,11,10,,7,3159,512,71,11973,50.6,11834
Georgia,Henry,76.9,3017,119,133,13,12,926,17610,25196,103,215,44,21555,118,87,6,2.8,2.6,0.11,10331,0.86,69620,50,38,22,126,8,168,202,22,181,55411,8574,89,239139,52.6,28250
Georgia,Houston,76.5,2100,106,110,13,12,413,18270,13983,54,121,40,15314,117,88,5,3.1,3,0.06,10746,0.77,69442,54,25,16,94,5,124,119,86,156,38595,6411,88,160110,51.7,13937
Georgia,Irwin,73,184,13,,17,14,73,1580,269,,17,42,921,43,98,,2.9,2.9,0,11775,0.62,47492,80,62,20,4,,,,,0,2411,243,71,9387,47.2,6172
Georgia,Jackson,76.6,1025,28,28,14,11,101,7530,5658,39,100,37,7885,80,96,8,3.3,3.2,0.02,10235,0.72,70960,40,45,16,33,2,70,59,,86,19171,2061,86,76199,50.5,36300
Georgia,Jasper,75.7,260,,,16,13,25,1830,158,,16,40,1752,41,83,,2.8,2.5,0.01,11097,0.66,57796,63,36,17,8,,15,15,,0,4261,549,71,14483,50.9,11365
Georgia,Jeff Davis,73.6,313,12,,19,15,7,2510,2716,,34,40,2104,39,89,,3,2.8,0.01,10122,0.87,44417,77,44,22,5,,,,,33,3363,462,69,15213,50.7,10474
Georgia,Jefferson,71.9,393,,,18,16,51,2390,55,,33,44,1936,59,88,,2.4,2.4,0.02,11059,0.71,40333,100,28,24,13,,,12,,39,3565,735,70,15267,51.5,13657
Georgia,Jenkins,74.1,182,,,20,17,32,1550,48,,28,43,936,69,78,,2.9,2.8,0.01,13064,0.97,38306,100,28,25,3,,,,,31,2557,646,63,8746,46.6,5513
Georgia,Johnson,74.1,209,10,,18,14,20,1520,1103,,16,42,912,52,88,,2.9,2.8,0.01,11456,0.71,36358,94,39,26,5,,,,,0,2470,251,68,9667,43.7,6528
Georgia,Jones,77.9,441,11,,14,12,26,3330,3543,,38,39,2904,66,82,,3.1,2.9,0.03,10377,0.75,64812,48,31,17,6,,32,31,,16,8764,1018,83,28787,51.9,19413
